Filename,FunDef,FunApp,letlambda,BinaryOperator,letdata,closure,templateMatch,ClassDef,ForLoop,WhileLoop,DoWhileLoop,IfStmt,SwitchStmt,CaseStmt,DefaultStmt,TernaryOp,ArrayDecl,FieldDecl,EnumConstantDecl,ParamDecl,TypedefDecl,StructDecl,FloatDecl,IntegerDecl,PtrDecl,UnionDecl,ReturnStmt,BreakStmt,ContinueStmt,DeclStmt,UnaryOperator,CharLiteral,StringLiteral,DeclRefExpr,MemberRefExpr,TranslationUnit,Namespace,TemplateTypeParam,TemplateNonTypeParam,TemplateTemplateParam,UnexpoesdDecl,NewOp,DelOp,Static_Cast<>,BoolLiteral,eTime_macos,eTime_windows10,Statements,Branches,Comments,Class Defs,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,Functions,Med_win,Ave_win,Std_win,Med_mac,Ave_mac,Std_mac
148.cpp,1,0,0,4,4,4,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,34,0,0,1,0,0,4,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0.001574039,0.005000114,12,25,3.4,0,0,0,4,4,1.33,4,1,0.00301671,0.003031817,4.06E-05,0.002944946,0.002749181,0.000608317
149.cpp,1,0,0,9,2,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0.001685143,0.004999399,14,21.4,11.1,0,0,0,4,3,1.57,4,1,0.00300014,0.003013773,0.000472832,0.002827883,0.002563095,0.000501636
15.cpp,2,2,0,11,5,8,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,12,0,0,2,2,0,5,1,0,0,22,0,1,0,0,0,0,0,0,0,0,1,0.001694202,0.007002592,23,26.1,20.8,0,0,0,6,3,1.26,4,2,0.002999902,0.002923499,0.000282609,0.002896428,0.002644491,0.000560569
150.cpp,1,0,0,8,4,4,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,6,0,0,1,0,0,3,3,4,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001575947,0.006001949,14,21.4,10.3,0,0,0,5,4,1.57,5,1,0.00300014,0.003096765,0.000559543,0.002833486,0.002806759,0.000631043
151.cpp,1,0,0,4,6,5,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,7,0,0,1,0,0,6,2,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0.001543045,0.004999638,19,26.3,10.5,0,0,0,6,4,1.42,6,1,0.004536629,0.004614852,0.001699232,0.002915621,0.002691627,0.000565132
152.cpp,1,0,0,9,5,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,5,2,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0.001795053,0.004999638,15,26.7,20,0,0,0,6,3,1.53,6,1,0.003115892,0.003688682,0.001343787,0.002891541,0.002723432,0.000513178
153.cpp,1,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.001735926,0.005999327,10,20,0,0,0,0,4,3,1,4,1,0.003001571,0.002924692,0.000746649,0.00289607,0.002718091,0.000556871
154.cpp,1,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.001770973,0.005999804,6,16.7,0,0,0,0,2,2,0.83,2,1,0.003008366,0.003553737,0.001574042,0.002758265,0.00266304,0.000628902
155.cpp,1,0,0,8,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0.001534939,0.005016327,8,25,0,0,0,0,3,3,1.12,3,1,0.002997875,0.00318913,0.002096571,0.002773523,0.002534008,0.000506681
156.cpp,1,0,0,12,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0.001577139,0.003998041,12,33.3,0,0,0,0,9,2,1.17,9,1,0.003043771,0.003200585,0.000412976,0.002820373,0.002666855,0.000502501
